Section,Type Aditional Info,Type,Importance,Hint,Description,Learn More
Accessibility,WCAG 2.0 and 2.1 level AAA rules,WCAG 2.1 (AAA),High,All text elements must have sufficient contrast between text in the foreground and background colors behind it in accordance with WCAG 2 AAA contrast ratio thresholds.,All text elements must have sufficient contrast between text in the foreground and background colors behind it in accordance with WCAG 2 AAA contrast ratio thresholds.,https://dequeuniversity.com/rules/axe/4.4/color-contrast-enhanced
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (AA), WCAG 2.0 (AA), Section 508",Critical,<video> elements must have a <track> for captions,"An HTML5 <code>video</code> element must include a <code>track</code> element with <code>kind=""captions""</code> set as a property. The captions should convey all meaningful auditory information in the video including dialogue, musical cues, sound effects, and other relevant information for deaf users.",https://dequeuniversity.com/rules/axe/4.4/video-caption
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",Critical,Active <area> elements must have alternate text,"An image map is a single image with many clickable areas. Like all images, an image map must have alternate text for <em>each</em> of the different clickable areas, as well as for the larger image itself, since screen readers have no way of translating graphics into text.",https://dequeuniversity.com/rules/axe/4.4/area-alt
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",Critical,ARIA attributes must conform to valid values,ARIA attributes starting with <code>aria-</code> must contain valid values. These values must be spelled correctly and correspond to values that make sense for a particular attribute in order to perform the intended accessibility function.,https://dequeuniversity.com/rules/axe/4.4/aria-valid-attr-value
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",Critical,ARIA attributes must conform to valid names,ARIA attributes starting with <code>aria-</code> must have valid names. Referring to a misspelled attribute or to one that does not exist will result in an invalid attribute and thus failure of this rule.,https://dequeuniversity.com/rules/axe/4.4/aria-valid-attr
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,"ARIA button, link, and menuitem must have an accessible name","ARIA command elements must have discernible text that clearly describes the destination, purpose, function, or action for screen reader users.",https://dequeuniversity.com/rules/axe/4.4/aria-command-name
Accessibility,Best Practice Rules,Deque Best Practice,High,ARIA dialog and alertdialog must have an accessible name,"Aria dialog elements must have discernible text that clearly describes the destination, purpose, function, or action for screen reader users.",https://dequeuniversity.com/rules/axe/4.4/aria-dialog-name
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,ARIA meter must have an accessible name,"Aria meter elements must have discernible text that clearly describes the destination, purpose, function, or action for screen reader users.",https://dequeuniversity.com/rules/axe/4.4/aria-meter-name
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,ARIA progressbar must have an accessible name,"Aria progressbar elements must have discernible text that clearly describes the destination, purpose, function, or action for screen reader users.",https://dequeuniversity.com/rules/axe/4.4/aria-progressbar-name
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,ARIA tooltip must have an accessible name,"Aria tooltip elements must have discernible text that clearly describes the destination, purpose, function, or action for screen reader users.",https://dequeuniversity.com/rules/axe/4.4/aria-tooltip-name
Accessibility,Best Practice Rules,Deque Best Practice,High,ARIA treeitem must have an accessible name,"Aria treeitem elements must have discernible text that clearly describes the destination, purpose, function, or action for screen reader users.",https://dequeuniversity.com/rules/axe/4.4/aria-treeitem-name
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",Critical,Required ARIA attributes must be provided,ARIA widget roles must have appropriate attributes describing the state or properties of the widget.,https://dequeuniversity.com/rules/axe/4.4/aria-required-attr
Accessibility,Best Practice Rules,Deque Best Practice,Medium,Banner landmark must not be contained in another landmark,Banner landmark must not be contained in another landmark.,https://dequeuniversity.com/rules/axe/4.4/landmark-banner-is-top-level
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",Critical,Buttons must have discernible text,"Buttons must have discernible text that clearly describes the destination, purpose, function, or action for screen reader users. The <code>input-button-name</code> rule separates functionality from the <code>button-name</code> rule to ensure that input buttons have discernible text; advise relevant to input button names was incorrect for button elements.",https://dequeuniversity.com/rules/axe/4.4/button-name
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",Critical,Certain ARIA roles must be contained by particular parent elements,Certain ARIA roles must be contained by particular parent <code>role</code>s in order to perform the intended accessibility functions.,https://dequeuniversity.com/rules/axe/4.4/aria-required-parent
Accessibility,Best Practice Rules,Deque Best Practice,Medium,Contentinfo landmark must not be contained in another landmark,Contentinfo landmark must be at top level.,https://dequeuniversity.com/rules/axe/4.4/landmark-contentinfo-is-top-level
Accessibility,Best Practice Rules,Deque Best Practice,Low,The <caption> element should not contain the same text as the summary attribute,"Data table markup can be tedious and confusing. Make sure the caption and summary table attributes are not identical. Screen readers have some features to manage table navigation, but tables must be marked up accurately for these features to work correctly.",https://dequeuniversity.com/rules/axe/4.4/table-duplicate-name
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",High,"All <th> elements and elements with role=""columnheader"" or role=""rowheader"" must have data cells they describe","Data table markup can be tedious and confusing. Markup tables semantically and with the correct header structure. Screen readers have features to ease table navigation, but tables must be marked up accurately for these features to work correctly.",https://dequeuniversity.com/rules/axe/4.4/th-has-data-cells
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",High,All cells in a <table> element that use the headers attribute must only refer to other cells of that same <table>,"Data table markup can be tedious and confusing. Markup tables semantically and with the correct header structure. Screen readers have features to ease table navigation, but tables must be marked up accurately for these features to work correctly.",https://dequeuniversity.com/rules/axe/4.4/td-headers-attr
Accessibility,Experimental Rules,"WCAG 2.1 (A), WCAG 2.1 Experimental, WCAG 2.0 (A), WCAG 2.0 Experimental, Section 508",High,Data or header cells should not be used to give caption to a data table,"Data table markup can be tedious and confusing. Screen readers have some features to ease table navigation, but tables must be marked up accurately for these features to work correctly. Some tables use cells with a <code>colspan</code> element to visually indicate a caption, instead of using an actual caption element.",https://dequeuniversity.com/rules/axe/4.4/table-fake-caption
Accessibility,Experimental Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",Critical,All non-empty <td> elements in tables larger than 3 by 3 must have an associated table header,"Data table markup can be tedious and confusing. Tables must be marked up done semantically and with the correct header structure. Screen readers have features to ease table navigation, but tables must be marked up accurately for these features to work correctly.",https://dequeuniversity.com/rules/axe/4.4/td-has-header
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,<dt> and <dd> elements must be contained by a <dl>,Definition list items (<code>dt</code> and/or <code>dd</code>) must be wrapped in parent <code>dl</code> elements to be valid. This enables screen reader users to understand the proper hierarchy of information in the list.,https://dequeuniversity.com/rules/axe/4.4/dlitem
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,"<dl> elements must only directly contain properly-ordered <dt> and <dd> groups, <script>, or <template> elements","Definition lists (<code>dl</code>) must contain only properly-ordered <code>dt</code> and <code>dd</code> groups, <code>div</code>, <code>script</code>, or <code>template</code> elements.",https://dequeuniversity.com/rules/axe/4.4/definition-list
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",Critical,"aria-hidden=""true"" must not be present on the document <body>","Document content is not accessible to assistive technology if <code>&lt;body aria-hidden=""true""&gt;</code>.",https://dequeuniversity.com/rules/axe/4.4/aria-hidden-body
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",Critical,Form <input> elements must have labels,Each form element must have a programmatically associated label element.,https://dequeuniversity.com/rules/axe/4.4/label
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",High,Page must have means to bypass repeated blocks,Each page must have a <code>main</code> landmark to provide a mechanism to bypass repeated blocks of content or interface elements (like header and navigation) and quickly arrive at the main content.,https://dequeuniversity.com/rules/axe/4.4/bypass
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",Critical,select element must have an accessible name,Each select element must have a programmatically associated label element.,https://dequeuniversity.com/rules/axe/4.4/select-name
Accessibility,Best Practice Rules,Deque Best Practice,High,"Ensures role=""text"" is used on elements with no focusable descendants","Elements with <code>role=""text""</code> must not have focusable descendants.",https://dequeuniversity.com/rules/axe/4.4/aria-text
Accessibility,WCAG 2.0 and 2.1 level AAA rules,"WCAG 2.1 (AAA), WCAG 2.0 (AAA)",Low,Ensure that links with the same accessible name serve a similar purpose,Ensure that links with the same accessible name serve a similar purpose.,https://dequeuniversity.com/rules/axe/4.4/identical-links-same-purpose
Accessibility,WCAG 2.1 Level A & AA Rules,WCAG 2.1 (AA),High,Inline text spacing must be adjustable with custom stylesheets,Ensure that text spacing set through style attributes can be adjusted with custom stylesheets.,https://dequeuniversity.com/rules/axe/4.4/avoid-inline-spacing
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",Medium,Audio must have controls that provide users with the ability to stop automatically played audio after three seconds,Ensures &lt;video&gt; or &lt;audio&gt; elements do not autoplay audio for more than three seconds without a control mechanism to stop or mute the audio.,https://dequeuniversity.com/rules/axe/4.4/no-autoplay-audio
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",Critical,Image buttons must have alternate text,"Ensures <code>&lt;input type=""image""&gt;</code> elements have alternate text.",https://dequeuniversity.com/rules/axe/4.4/input-image-alt
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",High,"Elements containing role=""img"" have an alternative text","Ensures elements marked <code>role=""img""</code> elements have alternate text.",https://dequeuniversity.com/rules/axe/4.4/role-img-alt
Accessibility,Best Practice Rules,Deque Best Practice,Low,Elements whose role is none or presentation must not conflict with other roles,Ensures elements which are marked to be removed from the accessibility tree are in fact removed.,https://dequeuniversity.com/rules/axe/4.4/presentation-role-conflict
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,ARIA input fields must have an accessible name,Ensures every ARIA input field has an accessible name.,https://dequeuniversity.com/rules/axe/4.4/aria-input-field-name
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,ARIA toggle fields have an accessible name,Ensures every ARIA toggle field has an accessible name.,https://dequeuniversity.com/rules/axe/4.4/aria-toggle-field-name
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",Medium,Form fields do not have duplicate labels,Ensures form field does not have multiple labels.,https://dequeuniversity.com/rules/axe/4.4/form-field-multiple-labels
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",Critical,Input buttons must have discernible text,Ensures input buttons have discernible text. The <code>input-button-name</code> rule separates functionality from the <code>button-name</code> rule to ensure that input buttons have discernible text; advise relevant to input button names was incorrect for button elements.,https://dequeuniversity.com/rules/axe/4.4/input-button-name
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",High,SVG images and graphics require accessible text,"Ensures SVG elements with an <code>&lt;img&gt;</code>, graphics-document or graphics-symbol role have an accessible text alternative.",https://dequeuniversity.com/rules/axe/4.4/svg-img-alt
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,Use aria-roledescription on elements with a semantic role,Ensures that the <code>aria-roledescription</code> attribute is only used on elements with an implicit or explicit <code>role</code> values.,https://dequeuniversity.com/rules/axe/4.4/aria-roledescription
Accessibility,Best Practice Rules,Deque Best Practice,Medium,Page must contain a level-one heading,"Ensures that the page, or at least one of its frames, contains an <code>h1</code> element that appears before the start of the main content to allow screen reader users to use keyboard shortcuts to navigate the heading structure instead of wasting time listening to more of the web page to understand its structure.",https://dequeuniversity.com/rules/axe/4.4/page-has-heading-one
Accessibility,Best Practice Rules,Deque Best Practice,Medium,Complementary landmarks and/or asides are top level,Ensures the complementary landmark or aside is at top level,https://dequeuniversity.com/rules/axe/4.4/landmark-complementary-is-top-level
Accessibility,Best Practice Rules,Deque Best Practice,Medium,Page must not have more than one contentinfo landmark,Ensures the page has at most one <code>contentinfo</code> landmark.,https://dequeuniversity.com/rules/axe/4.4/landmark-no-duplicate-contentinfo
Accessibility,Best Practice Rules,Deque Best Practice,Medium,Page must not have more than one banner landmark,Ensures the page has at most one banner landmark.,https://dequeuniversity.com/rules/axe/4.4/landmark-no-duplicate-banner
Accessibility,Experimental Rules,"WCAG 2.1 (A), WCAG 2.1 Experimental, WCAG 2.0 (A), WCAG 2.0 Experimental",High,Links must be distinguished from surrounding text in a way that does not rely on color,Ensures users who cannot distinguish between colors can tell when text is a link by verifying the link has either a distinct style that does not rely on color or has a contrast difference of greater than 3:1 (which alerts you that manual testing is required).,https://dequeuniversity.com/rules/axe/4.4/link-in-text-block
Accessibility,Best Practice Rules,Deque Best Practice,High,Form <input> elements should have a visible label,Form <code>&lt;input&gt;</code> elements may be given a title using the <code>title</code> or <code>aria-describedby</code> attributes (but not both). These attributes are used to provide additional information such as a hint.,https://dequeuniversity.com/rules/axe/4.4/label-title-only
Accessibility,Best Practice Rules,Deque Best Practice,Critical,Frames must be tested with axe-core,Frames must be tested with axe-core.,https://dequeuniversity.com/rules/axe/4.4/frame-tested
Accessibility,Best Practice Rules,Deque Best Practice,Medium,Heading levels should only increase by one,"Headings must be in a valid logical order, meaning <code>h1</code> through <code>h6</code> element tags must appear in a sequentially-descending order.",https://dequeuniversity.com/rules/axe/4.4/heading-order
Accessibility,Experimental Rules,Deque Best Practice,Low,Hidden content on the page cannot be analyzed,Informs users about hidden content that cannot be analyzed for accessibility violations.,https://dequeuniversity.com/rules/axe/4.4/hidden-content
Accessibility,Experimental Rules,"WCAG 2.1 (A), Section 508",High,Label and name from content mismatch,Interactive elements labeled through their content must have their visible label as part of their accessible name,https://dequeuniversity.com/rules/axe/4.4/label-content-name-mismatch
Accessibility,Best Practice Rules,Deque Best Practice,Medium,Ensures the document has at most one main landmark,"It is a best practice to ensure that there is only one main landmark to navigate to the primary content of the page and that if the page contains <code>iframe</code> elements, each should either contain no landmarks, or just a single landmark.",https://dequeuniversity.com/rules/axe/4.4/landmark-no-duplicate-main
Accessibility,Best Practice Rules,Deque Best Practice,Medium,Page must have one main landmark,"It is a best practice to ensure that there is only one main landmark to navigate to the primary content of the page and that if the page contains <code>iframe</code> elements, each should either contain no landmarks, or just a single landmark.",https://dequeuniversity.com/rules/axe/4.4/landmark-one-main
Accessibility,Best Practice Rules,Deque Best Practice,Medium,Main landmark must not be contained in another landmark,"It is a best practice to ensure the main landmark is not contained within another landmark. All content should be contained within distinct regions such as the header (<code>role=""banner""</code>), content (<code>role=""main""</code>), and footer (<code>role=""contentinfo""</code>).",https://dequeuniversity.com/rules/axe/4.4/landmark-main-is-top-level
Accessibility,Best Practice Rules,Deque Best Practice,Medium,All page content must be contained by landmarks,"It is best practice to contain all content excepting skip links, within distinct regions such as the header, nav, main, and footer.",https://dequeuniversity.com/rules/axe/4.4/region
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",High,Links must have discernible text,"Link text and alternate text for images, when used as links, must be discernible by a screen reader, must not have a duplicate label, and must be focusable.",https://dequeuniversity.com/rules/axe/4.4/link-name
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements","Lists must be marked up correctly, meaning they must not contain <strong>content</strong> elements other than <code>li</code> elements.",https://dequeuniversity.com/rules/axe/4.4/list
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",Medium,Ensure that scrollable region has keyboard access,MMMMElements that have scrollable content should be accessible by keyboardMMMM,https://dequeuniversity.com/rules/axe/4.4/scrollable-region-focusable
Accessibility,Best Practice Rules,Deque Best Practice,Medium,Landmarks must have a unique role or role/label/title (i.e. accessible name) combination,MMMMLandmarks must have a unique role or role/label/title (i.e. accessible name) combination.MMMM,https://dequeuniversity.com/rules/axe/4.4/landmark-unique
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,Nested interactive controls are not announced by screen readers,Nested interactive controls are not announced by screen readers,https://dequeuniversity.com/rules/axe/4.4/nested-interactive
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,Elements must only use allowed ARIA attributes,Not all ARIA role-attribute combinations are valid. This Rule checks that each role is supplied with allowed attributes.,https://dequeuniversity.com/rules/axe/4.4/aria-allowed-attr
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",Critical,Certain ARIA roles must contain particular children,Some ARIA parent <code>role</code> values applied to elements must contain specific child elements and <code>role</code> values to perform intended accessibility function.,https://dequeuniversity.com/rules/axe/4.4/aria-required-children
Accessibility,Experimental Rules,"WCAG 2.1 Experimental, WCAG 2.0 Experimental",High,"Bold, italic text and font-size are not used to style <p> elements as a heading",Styled <code>p</code> elements must not be used to represent headings because the structure of the document cannot otherwise be determined by screen reader users.,https://dequeuniversity.com/rules/axe/4.4/p-as-heading
Accessibility,Best Practice Rules,Deque Best Practice,Low,Ensures table headers have discernible text,"Table header elements should have visible text. Ensure that the table header can be used by screen reader users. If the element is not a header, marking it up with a `td` is more appropriate.",https://dequeuniversity.com/rules/axe/4.4/empty-table-header
Accessibility,Best Practice Rules,Deque Best Practice,Critical,Scope attribute should be used correctly on tables,The <code>scope</code> attribute must be used correctly on tables in accordance with either HTML4 or HTML5 specifications to enable efficient table navigation for screen reader users.,https://dequeuniversity.com/rules/axe/4.4/scope-attr-valid
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",Critical,<audio> elements must have a captions <track>,"The <code>track</code> element must be present for each HTML5 <code>audio</code> element, with <code>kind=""captions""</code> set as a property. Captions are text—synchronized with the audio file—of the dialog, narration, and any important auditory information, for the benefit of deaf users.",https://dequeuniversity.com/rules/axe/4.4/audio-caption
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",Low,Server-side image maps must not be used,The document contains an image map that is server-side instead of client-side.,https://dequeuniversity.com/rules/axe/4.4/server-side-image-map
Accessibility,WCAG 2.0 and 2.1 level AAA rules,"WCAG 2.1 (A), WCAG 2.0 (AA)",Critical,Meta refresh must not exist,"The document must not use <code>&lt;meta http-equiv=""refresh""&gt;</code> because it can prevent control over when the refresh occurs for users with disabilities.",https://dequeuniversity.com/rules/axe/4.4/meta-refresh
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (AA)",Critical,Timed refresh must not exist,"The document must not use <code>&lt;meta http-equiv=""refresh""&gt;</code> because it can prevent control over when the refresh occurs for users with disabilities.",https://dequeuniversity.com/rules/axe/4.4/meta-refresh
Accessibility,Best Practice Rules,Deque Best Practice,Low,Users should be able to zoom and scale the text up to 500%,"The document must not use the <code>user-scalable=""no""</code> parameter in the <code>&lt;meta name=""viewport""&gt;</code> element because it disables text scaling and zooming which is essential to users with low vision.",https://dequeuniversity.com/rules/axe/4.4/meta-viewport-large
Accessibility,Best Practice Rules,"WCAG 2.1 Best Practice, WCAG 2.0 Best Practice",Critical,Zooming and scaling must not be disabled,"The document must not use the <code>user-scalable=""no""</code> parameter in the <code>&lt;meta name=""viewport""&gt;</code> element because it disables text scaling and zooming which is essential to users with low vision.",https://dequeuniversity.com/rules/axe/4.4/meta-viewport
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,<html> element must have a lang attribute,The HTML document element must contain a valid <code>lang</code> attribute or must correspond to a valid <code>lang</code> code for multilingual screen reader users who may prefer a language other than the default.,https://dequeuniversity.com/rules/axe/4.4/html-has-lang
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,<html> element must have a valid value for the lang attribute,The HTML document must contain a valid <code>lang</code> attribute or must correspond to a valid <code>lang</code> code for multilingual screen reader users who may prefer a language other than the default.,https://dequeuniversity.com/rules/axe/4.4/html-lang-valid
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",Medium,<html> elements with lang and xml:lang must have the same base language,"The HTML document must contain a valid <code>lang</code> attribute or must correspond to a valid <code>lang</code> code for multilingual screen reader users who may prefer a language other than the default. The <code>xml:lang</code> attribute value, if included on the <code>html</code> element, must duplicate the value of the <code>lang</code> exactly.",https://dequeuniversity.com/rules/axe/4.4/html-xml-lang-mismatch
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",High,Documents must contain a title element to aid in navigation,"The HTML document must have a <code>title</code> element to provide users with an overview of its content, and when present, it must not be empty.",https://dequeuniversity.com/rules/axe/4.4/document-title
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (AA), WCAG 2.0 (AA)",High,lang attribute must have a valid value,The language specified in the HTML document must be one of the valid languages to ensure text is pronounced correctly for screen reader users.,https://dequeuniversity.com/rules/axe/4.4/valid-lang
Accessibility,Best Practice Rules,Deque Best Practice,Medium,The skip-link target should exist and be focusable,The page must have a link at the top before the navigation that allows users to skip lengthy navigation and proceed to a page's main content to save time.,https://dequeuniversity.com/rules/axe/4.4/skip-link
Accessibility,WCAG 2.1 Level A & AA Rules,WCAG 2.1 (AA),High,Autocomplete attribute must be used correctly,The purpose for each common input field that collects an individual's personal data is programmatically defined based on the list of 53 Input Purposes for User Interface Components. The autocomplete attribute values must be valid and correctly applied for screen readers to function correctly.,https://dequeuniversity.com/rules/axe/4.4/autocomplete-valid
Accessibility,Experimental Rules,WCAG 2.1 Experimental,High,CSS Media queries are not used to lock display orientation,"The screen orientation (e.g. portrait or landscape) of mobile applications should not be locked in one mode. Users should be able to change the orientation of their device between portrait and landscape with the page adjusting accordingly in order to remain understandable. Also, when opening a page, it should display in the user’s current orientation.",https://dequeuniversity.com/rules/axe/4.4/css-orientation-lock
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",Critical,ID attribute value must be unique,"The value assigned to active ID attributes on focusable elements must be unique to prevent the second instance from being overlooked by assistive technology. Put another way, active ID attributes may not be used more than once on focusable elements in the same document; focusable active elements require unique IDs for assistive technology to distinguish one element from another.",https://dequeuniversity.com/rules/axe/4.4/duplicate-id-active
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",Critical,IDs used in ARIA and labels must be unique,The value assigned to an <code>id</code> attribute used in ARIA or in form labels must be unique to prevent the second instance from being overlooked by assistive technology. Put another way; ID values used in ARIA and in labels may not be used more than once in the same document to differentiate each element from another.,https://dequeuniversity.com/rules/axe/4.4/duplicate-id-aria
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A)",Low,ID attribute values must be unique,The value assigned to an ID attribute must be unique to prevent the second instance from being overlooked by assistive technology. Put another way; ID attributes may not be used more than once in the same document to differentiate each element from another.,https://dequeuniversity.com/rules/axe/4.4/duplicate-id
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (AA), WCAG 2.0 (AA)",High,aria-hidden elements do not contain focusable elements,This rule checks <code>aria-hidden</code> elements do not contain focusable elements.,https://dequeuniversity.com/rules/axe/4.4/aria-hidden-focus
Accessibility,WCAG 2.0 Level A & AA Rules,"WCAG 2.1 (A), WCAG 2.0 (A), Section 508",High,<blink> elements are deprecated and must not be used,This rule requires that no <code>blink</code> elements are present. Flashing text can be difficult to read and blinking objects can be difficult to activate. The associated automated check finds the presence of all <code>blink</code> elements so that they can be removed.,https://dequeuniversity.com/rules/axe/4.4/blink
Accessibility,Experimental Rules,WCAG 2.1 Experimental,Low,Elements in the focus order need a role appropriate for interactive content,"User input elements must have appropriate roles, whether native HTML or a custom widget, to convey to screen reader users their meaning when landed on and given focus. If a custom widget, appropriate ARIA <code>role</code> values must be used instead of abstract roles to correctly expose the purpose of the element.",https://dequeuniversity.com/rules/axe/4.4/focus-order-semantics
